date,paid_price
2023-12-24,51.9
2023-12-26,23.4
2024-01-07,345.6
2024-01-08,370.5
2024-01-09,24.5
2024-01-10,3501.79
2024-01-12,7309.5
2024-01-22,65.99
2024-01-23,18361.5
2024-01-25,134.15
2024-01-26,68.4
2024-01-27,18.0
2024-01-29,7860.0
2024-01-31,65.25
2024-02-01,73.99
2024-02-02,111.18
2024-02-04,178.5
2024-02-06,178.0
2024-02-07,79.25
2024-02-09,80.75
2024-02-11,72.0
2024-02-12,7295.75
2024-02-13,84.6
2024-02-15,319.5
2024-02-17,123.99000000000001
2024-02-18,58.5
2024-02-19,114.4
2024-02-20,375.0
2024-02-21,142.4
2024-02-22,86.0
2024-02-23,214.0
2024-02-24,185.38
2024-02-25,286.2
2024-02-26,213.75
2024-02-27,126.5
2024-02-29,69.25
2024-03-01,215.48
2024-03-02,32.0
2024-03-04,70.25
2024-03-05,39.0
2024-03-06,4717.8
2024-03-07,5336.0
2024-03-08,457.72
2024-03-10,363.25
2024-03-11,249.0
2024-03-12,3002.1
2024-03-13,228.98000000000002
2024-03-14,8845.34
2024-03-15,5826.5
2024-03-16,446.65
2024-03-17,162.73000000000002
2024-03-18,426.58000000000004
2024-03-19,49.2
2024-03-20,6484.2699999999995
2024-03-21,126.25
2024-03-22,366.25
2024-03-23,51.25
2024-03-24,6144.0
2024-03-25,261.8
2024-03-26,164.3
2024-03-27,125.4
2024-03-28,8878.8
2024-03-29,4668.0
2024-03-30,135.3
2024-03-31,333.9
2024-04-01,55.5
2024-04-02,460.23
2024-04-03,238.5
2024-04-04,9835.7
2024-04-05,409.15
2024-04-06,2973.09
2024-04-07,2993.54
2024-04-08,427.0
2024-04-09,518.95
2024-04-10,18249.2
2024-04-11,936.75
2024-04-12,27458.350000000002
2024-04-13,7004.25
2024-04-14,209.05
2024-04-15,276.59000000000003
2024-04-16,361.6
2024-04-17,5717.25
2024-04-18,554.7
2024-04-19,11360.95
2024-04-20,910.44
2024-04-21,379.1
2024-04-22,306.45
2024-04-23,14874.2
2024-04-24,43945.13
2024-04-25,583.1
2024-04-26,3563.25
2024-04-27,22499.19
2024-04-28,35190.27
2024-04-29,3503.79
2024-04-30,6622.99
2024-05-01,1425.7
2024-05-02,5608.19
2024-05-03,243.99
2024-05-04,6074.040000000001
2024-05-05,785.31
2024-05-06,498.19
2024-05-07,117.4
2024-05-08,618.4
2024-05-09,4148.05
2024-05-10,762.84
2024-05-11,9303.279999999999
2024-05-12,932.37
2024-05-13,374.09000000000003
2024-05-14,338.9
2024-05-15,14636.99
2024-05-16,384.62
2024-05-17,653.4399999999999
2024-05-18,790.12
2024-05-19,918.42
2024-05-20,16787.3
2024-05-21,22469.75
2024-05-22,6703.95
2024-05-23,11836.79
2024-05-24,10483.95
2024-05-25,7894.0
2024-05-26,5538.2
2024-05-27,9466.439999999999
2024-05-28,1355.58
2024-05-29,30244.15
2024-05-30,10401.75
2024-05-31,769.4300000000001
2024-06-01,485.85
2024-06-02,16868.370000000003
2024-06-03,9220.9
